1    2     0.35  0.25   	
1.5  2.9   0.35  0.35  
2    4.5   0.35  0.23  
2.5  5.5   0.35  0.3  
3    5.8   0.35  0.4   
3.5  7     0.35  0.05  
4    8.3   0.35  0.2  
4.5  8.7   0.35  0.3  
5    9.7   0.35  0.353  
5.5  11.5  0.35  0.23  
6    12    0.35  0.351  
6.5  12.8  0.35  0.352  
7    14.6  0.35  0.01  
7.5  15.3  0.35  0.359  
8    15.9  0.35  0.26  
8.5  17    0.35  0.359  
9    18.5  0.35  0.07  
9.5  19.3  0.35  0.358  
10   20.2  0.35  0.02  
10.5 21	   0.35	0.05
11   21.9  0.35	0.23
11.5 23.1  0.35	0.24
12   24	   0.35	0.31 
12.5 24.6  0.35	0.357
13   25.9  0.35	0.01
13.5 27.3  0.35	0.08
14   28	   0.35	0.23
14.5 29.5  0.35	0.26	
15   29.8  0.35	0.41
15.5 31.1  0.35	0.350	
16   32.1  0.35	0.351	
16.5 33	   0.35	0.05	
17   33.7  0.35	0.24	
17.5 35.2  0.35	0.08
18   36	   0.35	0.353	
18.5 36.9  0.35	0.26
19   38.5  0.35	0.359
19.5 39.1  0.35	0.22
20   39.9  0.35	0.09

